x, y, z
-0.576104,0.898581,-0.713728
-0.684864,0.904908,-0.732805
-0.711721,0.820146,-0.740378
-0.577625,0.83733,-0.721546
-0.343385,1.00696,-0.608407
-0.335947,0.955366,-0.606587
-0.29776,0.964142,-0.579494
-0.296107,1.02094,-0.576502
-0.124422,1.28699,-0.696647
-0.174585,1.30597,-0.706739
-0.205188,1.28261,-0.675198
-0.135814,1.27012,-0.670945
-0.04918,1.25852,-0.681507
-0.060572,1.24165,-0.655805
-0.048784,1.20089,-0.628912
0.101263,1.09002,-0.576079
0.08654,1.1381,-0.582708
-0.015064,1.09507,-0.568525
-0.018154,1.13289,-0.589842
0.052063,1.06895,-0.582796
0.737063,0.198108,-0.616896
0.666262,0.240304,-0.603032
0.641047,0.201352,-0.599941
0.709815,0.152058,-0.614315
0.883136,0.150307,-0.65607
0.815928,0.159248,-0.64439
0.788679,0.113198,-0.641809
0.912501,0.106006,-0.658366
-0.251839,0.087555,-0.769343
-0.322424,-0.023207,-0.771315
-0.286068,-0.027597,-0.779563
-0.183042,0.092469,-0.781023
-1.317,0.359885,-1.45278
-1.39041,0.396015,-1.3913
-1.37705,0.497413,-1.41825
-1.30985,0.505095,-1.47796
-1.12065,0.456773,-1.75216
-1.14914,0.359457,-1.69288
-1.24493,0.352935,-1.53508
-1.23778,0.498145,-1.56027
-1.46999,0.660712,-1.31408
-1.46912,0.720122,-1.2966
-1.43662,0.775383,-1.30969
-1.01554,1.30843,-0.904244
-0.939923,1.21642,-0.826699
-0.8441,1.29624,-0.826902
-0.890333,1.36158,-0.898283
-0.260416,1.36895,-0.77741
-0.312812,1.38157,-0.803667
-0.338411,1.35233,-0.749402
-0.249828,1.33444,-0.721878
0.199146,1.31606,-0.743044
0.185324,1.3486,-0.803452
0.117464,1.35266,-0.812658
0.120822,1.31191,-0.746226
0.042329,1.44319,-0.96225
0.16459,1.39741,-0.894063
0.119464,1.48274,-0.988866
0.159615,1.48199,-0.93573
0.180587,1.42274,-0.896094
0.09673,1.40147,-0.90327
0.248599,1.34287,-0.768183
0.262421,1.31033,-0.707775
0.287874,1.29932,-0.670666
0.318104,1.34263,-0.712034
0.305894,1.3745,-0.736481
0.264596,1.3682,-0.770214
0.431351,1.5449,-0.816496
0.46242,1.60934,-0.842742
0.367753,1.63669,-0.864937
0.368679,1.56749,-0.825632
0.992927,1.41379,-0.925149
1.10113,1.43294,-0.934288
1.01935,1.52377,-0.940242
0.925356,1.45996,-0.921929
1.17768,1.02145,-0.88226
1.29105,1.00375,-0.882656
1.26037,1.13245,-0.906564
1.12883,1.14645,-0.900577
0.741184,-0.283352,-1.43816
0.824242,-0.195141,-1.4348
0.882117,-0.20055,-1.26497
0.732657,-0.310138,-1.27819
0.541383,-0.16171,-2.26471
0.596111,-0.079291,-2.21907
0.634803,-0.092891,-2.02568
0.576565,-0.184898,-1.99674
0.893718,0.366394,-2.14462
0.844353,0.244076,-2.11317
0.788153,0.251741,-2.35192
0.842946,0.356785,-2.3169
0.769854,-0.002767,-1.86948
0.837411,0.109021,-1.90275
0.923959,0.09498,-1.70257
0.842533,-0.032181,-1.66556
1.04143,0.353581,-1.80487
0.983468,0.218541,-1.75454
0.89692,0.232582,-1.95473
0.946285,0.354899,-1.98617
1.2225,0.484708,-1.64858
1.25411,0.637071,-1.70797
1.34948,0.661933,-1.5291
1.31461,0.507532,-1.45724
0.873876,0.558797,-2.43049
0.939028,0.601372,-2.21612
0.919018,0.4664,-2.17489
0.868246,0.456791,-2.34718
1.27119,0.816814,-1.79686
1.27282,0.954129,-1.84485
1.3482,0.997038,-1.68921
1.36656,0.841676,-1.618
0.88864,0.709207,-2.47162
0.887466,0.835816,-2.52152
0.958224,0.868928,-2.2968
0.953792,0.751782,-2.25726
1.43916,1.10334,-1.04847
1.44371,1.13807,-0.926173
1.38056,1.1189,-0.909144
1.41124,0.990193,-0.885236
1.45798,0.960131,-0.995558
1.20236,1.48946,-0.94808
1.2654,1.50888,-0.975931
1.1793,1.61466,-0.991708
1.12058,1.5803,-0.954034
0.796734,1.81895,-0.986718
0.667076,1.84849,-0.979894
0.618501,1.82371,-0.950335
0.331104,1.85885,-1.05412
0.373664,1.84044,-0.984306
0.463726,1.84824,-0.976502
1.35402,1.36563,-1.12115
1.36041,1.39194,-1.00121
1.41194,1.28022,-0.979043
1.40739,1.24548,-1.10134
1.33209,1.16904,-1.54485
1.27256,1.28181,-1.5631
1.31066,1.32611,-1.35196
