x,y,z
1.423143795671733436e+00,1.948000794687975157e+00,5.030855893123655775e+00
5.269348316858951664e-01,1.616579343428084181e+00,4.914891024656884433e+00
1.085867192020924632e+00,2.527535025469392682e+00,4.965826608791452657e+00
1.610692035073145068e+00,1.532666785626954020e+00,4.992222930104780687e+00
-1.936419089234592550e-01,2.183395525398369230e+00,4.963375467112602024e+00
2.088964543877749769e+00,2.450461948125922440e+00,4.878722536625216932e+00
6.659577058618221246e-01,1.153897553998153747e+00,4.904090215156069910e+00
2.463626610841170572e-01,2.892444116581465163e+00,4.892273525896560393e+00
2.537136899694851788e+00,1.640884625219191761e+00,4.913282125944333778e+00
-6.003592447999268611e-01,1.619748111443590100e+00,4.894874383483727165e+00
1.886025530371305381e+00,2.978413009840072956e+00,4.834387863546422359e+00
1.533935517337680965e+00,9.316035610702524394e-01,4.903115281302711459e+00
-7.346170370735979338e-01,2.559158747177497695e+00,4.792109272548771060e+00
3.057218800297043515e+00,2.304236047955535938e+00,4.847157713415260361e+00
-2.667534444622595702e-01,9.589107854542970877e-01,4.812500957123702960e+00
7.264719547637163988e-01,3.360677811252800407e+00,4.804513110772067108e+00
2.777194463695801918e+00,1.121851800282880784e+00,4.794455969934499073e+00
-1.310161024292546550e+00,1.869039589778694666e+00,4.750683105848801269e+00
2.681564429435791208e+00,2.986127338111697060e+00,4.739576220771999360e+00
9.608732058816976673e-01,4.791321220345282628e-01,4.788413917729574365e+00
-7.007618408862273940e-01,3.145605195558751177e+00,4.734804319921916971e+00
3.585627760907810213e+00,1.829192055614015322e+00,4.753000695093328787e+00
-1.179506058216235553e+00,1.074295296783072340e+00,4.742898794062857526e+00
1.580171144099377756e+00,3.509078032897378296e+00,4.630002305966492315e+00
2.315588072805899067e+00,5.991950692057296246e-01,4.680454620136861976e+00
-1.622361500797692591e+00,2.487208783247508936e+00,4.667926984553836256e+00
3.607400675921142330e+00,2.698672661984017562e+00,4.669505428544536763e+00
-1.470941896314598707e-01,3.847426992257823031e-01,4.614246438633416325e+00
-5.218462447242339097e-02,3.679811237250357081e+00,4.596529882989863758e+00
3.636407453650973842e+00,1.192861208128150219e+00,4.628993225468163608e+00
-1.889005541149531009e+00,1.532894370957868180e+00,4.572168417731125700e+00
2.653970679095903673e+00,3.462735337272833114e+00,4.507644376378845408e+00
1.460287749985361483e+00,1.122757271534781942e-01,4.586655378002838290e+00
-1.535388330153388825e+00,3.138182594546677251e+00,4.618294748222636414e+00
4.161513782018019469e+00,2.194916223311918824e+00,4.493319115999506508e+00
-1.203714518974856595e+00,5.298705631830630258e-01,4.509715012871637896e+00
1.057962515729354402e+00,3.875013199771124572e+00,4.535054515510626771e+00
3.233938106744953078e+00,5.006001382632598862e-01,4.427697107280577526e+00
