x,y,z
1.978582807586975578e+00,9.764981771317484682e-01,1.218554589093150842e+00
1.701639533570641794e+00,1.136165386802190230e-01,1.610692753643525155e+00
1.542487026020836094e+00,1.355673549727802740e+00,1.588202167139852072e+00
2.247687976644494157e+00,7.459865503743277060e-01,9.454550800805434640e-01
1.360558136294402809e+00,-3.746637859344995047e-02,2.334617628993547633e+00
2.028291854623278212e+00,1.461537306798266656e+00,8.401959172036477241e-01
1.891646162090394379e+00,-3.738092702152927549e-01,1.154985553366616235e+00
1.024926554691468095e+00,7.158982347171570781e-01,2.306182236104271865e+00
2.527205838726201748e+00,1.279022379831930678e+00,-5.440356032474708003e-02
1.400447344700559649e+00,-5.684789716704139462e-01,2.413222707764972164e+00
1.203151678714991180e+00,1.814300091422523353e+00,1.171501886074825194e+00
2.487919962225725090e+00,3.115662398688343049e-01,5.541408672910058675e-01
8.186331860589125542e-01,2.687325843446123352e-01,2.734460838077459321e+00
2.243475699933442424e+00,2.048641238790553043e+00,2.130200569575892156e-01
1.777115113515755906e+00,-8.494004639897446696e-01,2.076603106335532356e+00
6.186454548975719447e-01,1.639038800411374508e+00,2.129062028032883802e+00
2.737252905789154145e+00,1.277608655012436367e+00,5.957469070445816500e-02
7.945201192360582532e-01,-7.313059167476894107e-01,3.046883335333910203e+00
1.640001255497631538e+00,2.522012347925178144e+00,6.489364786796671947e-01
2.652838550269016604e+00,-3.473932904029422009e-01,8.390634609009577360e-01
4.897619922821855876e-01,5.405739496095114394e-01,2.933119922275553737e+00
2.488001275235385723e+00,1.871070473430154646e+00,-4.125957088262664496e-01
1.637481221288107580e+00,-1.141092379218140440e+00,2.303655621863812897e+00
8.052973889507596406e-01,2.294354119692920690e+00,1.278021707971212617e+00
2.911666444118112818e+00,2.986298491732030658e-01,1.290089250995521963e-01
5.670674229395566979e-01,-5.644961265600956235e-01,3.287044736188456273e+00
2.046527903615233512e+00,2.905235308232427371e+00,-1.554783189381383490e-01
2.190169424346212868e+00,-1.213809514458454641e+00,1.496404952334775107e+00
2.743872812391207061e-01,1.167313499175882896e+00,2.637546845920750727e+00
2.950987859252313328e+00,1.677488531588047893e+00,-6.316036106917628512e-01
9.168124612892630809e-01,-1.345786053680886774e+00,3.084342915684712860e+00
1.393302924272942223e+00,2.785843612502662214e+00,8.885701165439997551e-01
2.705458375991003805e+00,-4.682296375589992121e-01,3.716559967736710046e-02
-2.456244836558978406e-01,1.395490147407554837e-02,3.301111511980189483e+00
2.593260665316083458e+00,2.920716129823118123e+00,-8.891936290264378373e-01
1.616595159841106799e+00,-1.764353377047258586e+00,2.334129345519329490e+00
3.641965198205426857e-01,2.115263192582228502e+00,2.137785004277134249e+00
3.294203937006824567e+00,5.874629433539952927e-01,-7.639910958525478746e-01
3.296531181380212283e-01,-1.370466444996991218e+00,3.656179471372682066e+00
1.591087141615127543e+00,3.279167676699050293e+00,-4.397577714789734776e-02
