x,y,z
5.407749117537134609e+00,-3.046441841495421965e+00,4.985051506297463852e+00
4.559678283755608241e+00,-3.641914176189178676e+00,5.108443160113949943e+00
5.031921399909530024e+00,-2.174225821049932339e+00,4.795303243771757984e+00
5.731431277437248895e+00,-3.764988761481572244e+00,4.984444120180209659e+00
3.921021821832969767e+00,-2.767045999495575614e+00,4.852851784854917305e+00
6.197393656307890630e+00,-2.385570016664225079e+00,4.775410391161508450e+00
4.669914882437546488e+00,-4.415208465752972877e+00,4.812166488160312561e+00
4.264265629995755980e+00,-1.583915459675880655e+00,4.714062329423112097e+00
6.562147199577558432e+00,-3.705366301328924195e+00,4.573970245276413493e+00
3.561547717409933700e+00,-3.631465404030059130e+00,4.611868171417105700e+00
5.852623459831889363e+00,-1.308841550987366986e+00,4.575324139435019255e+00
5.493067432557203311e+00,-4.580907509951499534e+00,4.609072045220071523e+00
3.167320185702937163e+00,-1.945081847250934137e+00,4.576847801260285564e+00
7.041665460838319568e+00,-2.609428815684597947e+00,4.607133124950870240e+00
3.732087161556640442e+00,-4.575966754122955393e+00,4.449258646252445715e+00
4.894841143115908011e+00,-9.175328304111315392e-01,4.449642396205950590e+00
6.767475422015786890e+00,-4.450803730611400333e+00,4.341125221243125942e+00
2.699939179051975557e+00,-3.045575894754760871e+00,4.368854476801384834e+00
6.613790281103799629e+00,-1.330445899064941262e+00,4.201811467959576163e+00
4.838273228661330805e+00,-5.562824891904234903e+00,4.102595775634745756e+00
3.377965792311893534e+00,-1.126202424315034145e+00,4.332032999262024120e+00
7.482757361999071932e+00,-3.321295478942081658e+00,4.174790108103223929e+00
2.784848569872846458e+00,-4.438894747842631716e+00,4.013188600813439422e+00
5.508038531676774596e+00,-2.830631292126983833e-01,4.244737279675412367e+00
6.401770528516644632e+00,-5.221449633637968546e+00,4.070359862462947120e+00
2.361458124179829365e+00,-2.314568187634437280e+00,4.013471993219360101e+00
7.417453902271581079e+00,-1.940085492376832255e+00,3.931967760074413398e+00
3.929156160255389718e+00,-5.522487200131712903e+00,3.826040032139970126e+00
4.055249732711526889e+00,-4.924723006134090753e-01,3.982683229086378507e+00
7.663051625648291676e+00,-4.430220109674907647e+00,3.862730731430346953e+00
2.196859166448075218e+00,-3.721702570302441337e+00,3.786285244344475664e+00
6.695403158557851064e+00,-4.934840126540521177e-01,3.653148261008232200e+00
5.507893121096992139e+00,-5.910385665596275651e+00,3.620177089565759676e+00
2.658547147190455817e+00,-1.173101145284826785e+00,3.795927401351669062e+00
7.993408416126755789e+00,-2.706346456276757628e+00,3.395212965647994796e+00
2.756476531687717557e+00,-5.211115286210688424e+00,3.592904907466544007e+00
5.105956032337300776e+00,-2.521248368680384377e-02,3.511518074397825373e+00
6.848723007579469169e+00,-5.396355246705009101e+00,3.456666336426902575e+00
1.849660970635775836e+00,-2.764403554394529561e+00,3.555410406110954824e+00
7.392182058637267517e+00,-1.202844728667384011e+00,3.466035697424860285e+00
4.386674072020475990e+00,-6.029333618561778074e+00,3.448912212651555453e+00
3.305423006476582160e+00,-4.256924872072791466e-01,3.278239017001288058e+00
8.183028781983196609e+00,-3.929376361117822736e+00,3.328214461199676677e+00
2.093640848825638834e+00,-4.589979950717473223e+00,3.148628204504792638e+00
6.253410246559655050e+00,1.247262666028783884e-01,3.225498191336255260e+00
6.360648354432382412e+00,-5.932903442834636998e+00,2.899064862876145288e+00
2.091637737446992773e+00,-1.452921391874680612e+00,3.110423116303211444e+00
8.371261558806589065e+00,-2.005323697913523162e+00,3.259711669156810210e+00
3.380272414564195582e+00,-5.916933890069627999e+00,2.997747491013142085e+00
4.283881595669567943e+00,2.879759613798623663e-01,2.949800940093586732e+00
7.851428682884741939e+00,-5.025559941059110081e+00,2.913275908863936614e+00
1.693705665193826038e+00,-3.487936441572118351e+00,2.937095651080845027e+00
7.281267655777289960e+00,-5.386409630580641927e-01,3.161636707213102859e+00
5.071450587362120288e+00,-6.465054387713738748e+00,2.644953343977258342e+00
2.483028799551943333e+00,-6.268300135054649669e-01,2.769232951641511065e+00
8.703999087196285345e+00,-3.104800931239680928e+00,2.841995866931411818e+00
2.273505454465682529e+00,-5.469650999395426538e+00,2.626048744687529357e+00
5.554919145508873335e+00,7.219930932065525830e-01,2.745462496525521878e+00
7.120823653282837284e+00,-5.942929956751488163e+00,2.729852725219309217e+00
1.483958044530498066e+00,-2.290433627517231674e+00,2.717280479398785697e+00
8.107057944394128413e+00,-1.335481622297215232e+00,2.592879168416443836e+00
3.727430387233950260e+00,-6.619671734375665473e+00,2.550176729739061177e+00
3.378935800229106334e+00,2.847638130265105483e-01,2.545590712815686718e+00
8.539302698519430024e+00,-4.381335476764157910e+00,2.549830725026831946e+00
1.326774848332854084e+00,-4.183043543750128102e+00,2.418696887823069464e+00
6.691174456183420105e+00,2.846313492839873671e-01,2.341743841221511246e+00
5.837959798509920972e+00,-6.844012047674747024e+00,2.377042264732081911e+00
1.853748652888835169e+00,-8.056265110208520319e-01,2.413949412369256642e+00
8.763100850676844189e+00,-2.290150378994154856e+00,2.413877433674448625e+00
2.583343427086120414e+00,-6.026637246181365981e+00,2.246983054889584164e+00
4.567197058219329087e+00,7.020237177769953485e-01,2.246125127438931113e+00
7.758662842125389147e+00,-5.572044301580950432e+00,2.128538972820423592e+00
1.277817126639268386e+00,-2.935027796958506574e+00,2.113319664843920531e+00
7.841614540785995402e+00,-5.249458381888011393e-01,1.905223366540341745e+00
4.891017023752118220e+00,-6.817957550513293441e+00,2.122987448737885252e+00
2.582138226843815332e+00,1.475439101053737379e-01,2.018184854641564385e+00
8.735346185422493193e+00,-3.512731536245121688e+00,2.089237608703497173e+00
1.675212807520610969e+00,-4.947928187517172560e+00,2.018629753525521320e+00
6.109996887615127825e+00,8.165686644571797936e-01,1.874587330428678200e+00
6.771579353688224501e+00,-6.635280016543648074e+00,1.777499160186689187e+00
1.374740895770147020e+00,-1.643023335323627876e+00,1.890578270991047916e+00
8.658092176499756931e+00,-1.619133792342082545e+00,1.615125365162713988e+00
3.203556344564512326e+00,-6.554054246018114149e+00,1.678668847729420710e+00
3.584102601581520275e+00,8.299395741416484285e-01,1.819282601125699728e+00
8.330132632577750940e+00,-4.968146649961151518e+00,1.542818925493775639e+00
1.256691584940105244e+00,-3.891820018171538997e+00,1.562104055868962948e+00
7.454923787647108391e+00,3.135268713808057051e-01,1.508465005679216153e+00
5.595218379418005483e+00,-6.876480685367347689e+00,1.606456321338840754e+00
2.140469342001424469e+00,-2.464326848503377854e-01,1.371190442559192757e+00
8.892631435469855461e+00,-2.821489122248672654e+00,1.390084110530137362e+00
1.835354186421165545e+00,-5.683485209205277222e+00,1.253518880100699784e+00
5.193381726672587462e+00,9.109692098934071280e-01,1.305032767246626424e+00
7.588106336379669692e+00,-6.268213230204400688e+00,1.268545641122791556e+00
8.958533925996251535e-01,-2.462649723680368385e+00,1.286404783021833254e+00
8.397534190003556276e+00,-7.752481238236358374e-01,1.468156005633398653e+00
4.178087669384674463e+00,-6.766171806986417181e+00,1.253912109392449903e+00
3.020652465547601917e+00,4.399997548113742107e-01,1.048622355498404213e+00
8.800727494474640977e+00,-4.556804503777991400e+00,1.051336976587276650e+00
1.349845152513226898e+00,-4.781648369925258102e+00,9.527219401829478684e-01
6.620570637670827985e+00,7.351875097430993211e-01,1.051107134312366798e+00
6.089572537164125166e+00,-6.591167168079926419e+00,9.566512147700567681e-01
1.779150487405104508e+00,-1.109234150055086854e+00,9.938248734948590402e-01
8.831546315522942336e+00,-1.955029611604244932e+00,1.071746022115943164e+00
2.854031552579364472e+00,-6.239914252384938465e+00,9.268738404851067925e-01
4.195767967155972222e+00,1.008152836627898896e+00,7.513360580349489615e-01
8.183368079517727267e+00,-5.574694342831043592e+00,9.143859628308794729e-01
9.640944655782142103e-01,-3.080702692048911118e+00,7.049360134764841579e-01
7.824344719759265487e+00,-2.293495906490570779e-01,7.188051815090852337e-01
4.867740486877328188e+00,-6.925579627546568418e+00,8.068895303424926668e-01
2.466364367862962759e+00,-8.572732626184198512e-02,5.013801877253856176e-01
8.921117378329054048e+00,-3.511284089889625371e+00,6.839053465646532937e-01
1.846114846911175889e+00,-5.312356101992848245e+00,3.952494004807455275e-01
5.650759373774087990e+00,8.006158747757828875e-01,5.322277618951034572e-01
7.113770695746699957e+00,-6.596272254703792193e+00,5.865421682083712396e-01
1.387807741870601852e+00,-2.097462497122947855e+00,3.310518266285796263e-01
8.608285620453873577e+00,-1.307409609065631972e+00,3.428376255752254576e-01
3.571544771240346527e+00,-6.868245606330839692e+00,2.826649597637860278e-01
3.426557263185316948e+00,6.236203545759744227e-01,3.000471285178404335e-01
8.561774915078052217e+00,-4.710371868123822026e+00,1.851834010722496759e-01
1.259919492383857698e+00,-3.916943516069482989e+00,1.326819689613967512e-01
6.696416590250687584e+00,2.482346172558929642e-01,5.604974019902794757e-02
5.603852012237697799e+00,-6.886330974446322806e+00,5.155927775861672557e-02
1.835899318266709379e+00,-6.649644679496850008e-01,3.420325873097299629e-01
8.925980601028463468e+00,-2.565598117376683085e+00,-1.428502610629901748e-01
2.302758224568958401e+00,-6.050852223545268416e+00,-1.584503827241313251e-02
4.695457284112913854e+00,8.828435268943035652e-01,1.133244962263618427e-01
7.729852377897412197e+00,-5.640589130536681317e+00,-8.811374150332476618e-02
1.211921588822410190e+00,-2.758623969115614472e+00,-3.227386557389615163e-02
8.071823972239478451e+00,-7.074621646721055424e-01,-2.877746729263591097e-01
